Diogo Dalot,MUN,0,0
Bukayo Saka,ARS,0,1
Max Kilman,WOL,0,0
Dan Burn,BHA,0,0
James Garner,MUN,0,0
Tahith Chong,MUN,0,0
Harvey Elliott,LIV,0,0
Mark Travers,BOU,0,0
Max Aarons,NOR,0,0
Ben Godfrey,NOR,0,0
Grant Hanley,NOR,0,0
Jamal Lewis,NOR,0,0
Tom Trybull,NOR,0,0
Marco Stiepermann,NOR,0,0
Che Adams,SOU,0,1
Dean Henderson,SHU,0,0
John Egan,SHU,0,0
Chris Basham,SHU,0,0
Jack O'Connell,SHU,0,1
David McGoldrick,SHU,0,2
Luke Freeman,SHU,0,0
Ben Osborn,SHU,0,0
Simon Moore,SHU,0,0
Jonathan Kodjia,AVL,0,0
Henri Lansbury,AVL,0,0
James Justin,LEI,0,1
Jack Stacey,BOU,0,1
Billy Gilmour,CHE,0,0
Christoph Zimmermann,NOR,0,1
Steven Alzate,BHA,0,0
Adam Idah,NOR,0,0
Michael McGovern,NOR,0,0
Marvelous Nakamba,AVL,0,0
Eric Garcia,MCI,0,0
Leon Clarke,SHU,0,0
Arnaut Danjuma Groeneveld,BOU,0,0
Reece James,CHE,0,2
David Martin,WHU,0,0
Kieran Tierney,ARS,0,0
Troy Parrott,TOT,0,0
Anthony Gordon,EVE,0,0
Brandon Pierrick,CRY,0,0
Japhet Tanganga,TOT,0,0
Tariq Lamptey,CHE,0,0
Jeremy Ngakia,WHU,0,0
Takumi Minamino,LIV,0,0
Indiana Vassilev,AVL,0,0
Gedson Fernandes,TOT,0,0
Sander Berge,SHU,0,0
Tomas Soucek,WHU,0,0
Daniel Podence,WOL,0,0
